F1	An authenticator handles the authentication challenge/response cycles of a single connection.
F179	"Avoid rescheduling compactions when no compaction was executed. Bizarre Compaction Manager Behaviour. t seems the CompactionManager has gotten itself into a bad state. My 1.0.2 node has been up for 20 hours now - checking via JMX, the compaction manager is reporting that it has completed 14,797,412,000 tasks. Yep, thats right 14 billion tasks and increasing at a rate of roughly 208,400/second."
F180	fix handling of the chunk_length_kb compression options. Compression option chunk_length is not converted into KB as it should.
F181	fix updating CF row_cache_provider. Not possible to change row_cache_provider on existing cf.row_cache_provider is not possible to change using update column family xyz with row_cache_provider='something' 
F182	"CFMetaData.convertToThrift method to set RowCacheProvider. Row cache provider reported wrong in cassandra-cli When doing ""show schema;"" in the CLI, the row_cache_provider is reported as ConcurrentLinkedHashCacheProvider while it really is SerializingCacheProvider"
F183	"Make counter shard merging thread safe. Counter shard merging is not thread safe. The first part of the counter shard merging process is done during counter replication. This was done there because it requires that all replica are made aware of the merging (we could only rely on nodetool repair for that but that seems much too fragile, it's better as just a safety net)."
F184	"Revert. (Hadoop) Skip rows with empty columns when slicing entire row. We have been finding that range ghosts appear in results from Hadoop via Pig. This could also happen if rows don't have data for the slice predicate that is given. This leads to having to do a painful amount of defensive checking on the Pig side, especially in the case of range ghosts. (Hadoop) skip empty rows when entire row is requested, redux. "
F185	Fix bug preventing the use of efficient cross-DC writes. Actually uses efficient cross DC writes. 
F186	"describe ring` command for CLI . add describe_ring to cli. Lately I have found the describe_ring feature was needed to debug/analyze issue, but the cli does not have this available."
F187	fix self-hinting of timed out read repair updates and make hinted handoff less prone to OOMing a coordinator. local writes timing out cause attempt to hint to self. 
F188	expose bloom filter sizes via JMX. capture BloomFilter memory size in Cassandra (JMX)
F189	enforce RP tokens 0..2**127. Move allows you to move to tokens > 2**127 Currently you can move to tokens greater than what should be the max token in RP.
F190	"canonicalize paths exposed through JMX. Storage paths exposed in JMX should be absolute/canonical. The data, commitlog, and saved caches directories are exposed through JMX. However, what's exposed is just exactly what's in the config file. This can be ambiguous in some cases."
F191	"fix ""liveSize"" stat when sstables are removed. Load from `nodetool ring` does not update after cleanup. "
F192	add bloom filter FP rates to nodetool cfstats. include bloomfilter stats in nodeCmd output
F193	record partitioner in sstable metadata component. Changing partitioner causes interval tree build failure before the change can be detected. 
F194	add new upgradesstables nodetool command. Create a nodetool upgrade_sstables to avoid using scrubs for tasks it wasn't intended to.
F195	skip --debug requirement to see common exceptions in CLI. requiring --debug to see stack traces for failures in cassandra-cli is a terrible idea (aka silent failure is never a valid option)
F196	fix incorrect query results due to invalid max timestamp. Incorrect query results due to invalid SSTable.maxTimestamp. 
F197	"make sstableloader recognize compressed sstables. sstableloader throwing exceptions when loading snapshot data from compressed CFs. Loaded data from snapshot then enabled `sstable_compression: org.apache.cassandra.io.compress.SnappyCompressor` Then flush, scrub and compact. I can see actual CompressionRatio in JMX Console and access my data without problems..Now I snapshot compressed keyspace and when trying to load snapshot to another single node or different Keyspace (the same super CF structure with compression options enabled, even try to truncate snapshoted CFs.) I cant retrieve any records ."
F198	"avoids race in OutboundTcpConnection in multi-DC setups. Header class not thread safe, but mutated by multiple threads. "
F199	"use SETLOCAL in cassandra.bat cassandra.bat does not use SETLOCAL, can cause classpath issues"
F200	fix ConcurrentModificationException in Table.all() ConcurrentModificationException in Table.all()
F201	fix concurrence issue in the FailureDetector. ConcurrentModificationException in FailureDetector
F202	fix array out of bounds error in counter shard removal. CounterColumnFamily Compaction error (ArrayIndexOutOfBoundsException). 
F203	"void dropping tombstones when they might still be needed to shadow data in a different sstable. After a minor compaction, deleted key-slices are visible again."
F204	revert Wrong check of partitioner for secondary indexes. doesn't handle the fact that secondary indexes have a specific partitioner (LocalPartitioner).
F205	fix assertion error while forwarding writes to local nodes. Assertion error when forwarding to local nodes. Started a rolling upgrade from 1.0.3 to 1.0.4 now all boxes are constantly spitting out this assert
F206	"(CQL) fix cqlsh support for replicate_on_write. cqlsh: DESCRIBE output for a columnfamily does not work as input to same C* instance. The DESCRIBE COLUMNFAMILY cqlsh command produces output that is intended to be usable as valid CQL (at least, when given to another Cassandra instance of the same version). But the output yields errors when run: So it needs to do a better job of determining which CF attributes are valid for which C* versions."
F207	fix adding to leveled manifest after streaming. Assertion error during bootstraping cassandra. 
F208	"filter out unavailable cipher suites when using encryption. Counter shard merging is not thread safe. The first part of the counter shard merging process is done during counter replication. This was done there because it requires that all replica are made aware of the merging (we could only rely on nodetool repair for that but that seems much too fragile, it's better as just a safety net)."
F209	"(HADOOP) add old-style api support for CFIF and CFRR. Implement old style api support for ColumnFamilyInputFormat and ColumnFamilyRecordReader. For better compatibility with hadoop, I would like to add old style hadoop support (mapred) to the ColumnFamilyInputFormat and ColumnFamilyRecordReader."
F210	"Support TimeUUIDType column names in Stress.java tool. Support timeuuid column names. Real-world Cassandra applications often use ""wide rows"" to denormalize queries into. Most often, this means they do a lot of appending to existing rows, with few overwrites. An easy way to add this to Stress would be to allow specifying timeuuid column names (which will be inherently sequential, or nearly so)."
F211	(CQL) INSERT/UPDATE/DELETE/TRUNCATE commands should allow CF names to be qualified by keyspace. CQL queries should allow CF names to be qualified by keyspace
F212	always remove endpoints from delevery queue in HH. Hinted handoffs isn't delivered if/when HintedHandOffManager ends up in invalid state.
F213	"fix race between cf flush and its 2ndary indexes flush. Race between cf flush and its secondary indexes flush. When a CF with indexes is flushed, it's indexes are flushed too. In particular their memtable is switched, but without making the old memtable frozen. This can conflict with a concurrent flush of the index itself"
F214	fix potential race in AES when a repair fails. NPE in AntiEntropyService$RepairSession.completed(). 
F215	ix default value validation usage in CLI SET command. value validator in the cli does not pick up. 
F216	Optimize componentsFor method for compaction and startup time. Compaction cleanupIfNecessary costly when many files in data dir. From what I can tell SSTableWriter.cleanupIfNecessary seems increasingly costly as the number of files in the data dir increases.
F217	"(CQL) Proper ColumnFamily metadata validation on CREATE COLUMNFAMILY. CQL CF creation skips most of the validation code. Most validation is done by ThriftValidation.validateCfDef, which we call from QP when creating an index but not on CF creation."
F218	"fix compression ""chunk_length_kb"" option to set correct kb value for thrift/avro. Compression chunk_length_kb is not correctly returned for thrift/avro. fixed the interpretation of chunk_length_kb as a size in bytes but infortunately forgot to convert it back to kb when returning it for thrift/avro. In particular, this means that a describe cf would return things like chunk_length_kb: 65535."
F219	"fix missing response during range slice repair. Timeout exception for quorum reads after upgrade from 1.0.2 to 1.0.5  For some column families always got TimeoutException. I turned on debug and increase rpc_timeout to 1 minute, but still got timeout. I believe it is bug on 1.0.5."
F220	"describe ring' moved from CLI to nodetool and available through JMX. add describe_ring to cli. Lately I have found the describe_ring feature was needed to debug/analyze issue, but the cli does not have this available."
F221	add back partitioner to sstable metadata. Wrong check of partitioner for secondary indexes. doesn't handle the fact that secondary indexes have a specific partitioner (LocalPartitioner). 
F222	fix NPE in get_count for counters. get_count NullPointerException with counters. get_count doesn't currently work for counter columns or super counter columns. The fix seems to be pretty simple.
F223	"remove invalid assertion that table was opened before dropping it. Don't assume the Table instance has been open when dropping a keyspace. DropKeyspace assumes that the Table had been open (rather, it checks that Table.clear() don't return null). It has been seen however that in the case of a fat client (the sstableloader in that case, but it would be true for any fat client) the Table may not have been open. Let's just remove that assertion."
F224	"range and index scans now only send requests to enough replicas to satisfy requested CL + RR. Index Scan's will span across multiple DC's. Looks like we send requests to all the nodes provided by StorageService.instance.getLiveNaturalEndpoints(keyspace, range.right); We dont filter it based on blockedFor (Consistency levels)."
F225	use cannonical host for local node in nodetool info. nodetool info reports inaccurate datacenter/rack for localhost. The datacenter & rack information provided by 'nodetool info' is incorrect when using 'nodetool -h localhost info'. This is because the IP address passed to the EndpointSnitch to determine the datacenter & rack is sourced from the host parameter provided to nodetool and not the actual endpoint address used in the ring.
F226	remove nonlocal DC write optimization since it only worked with CL.ONE or CL.LOCAL_QUORUM. TimeoutException When using QuorumEach or ALL consistency on Multi-DC. Intermittent exceptions seen in cassandra 1.0.5 during Reads.
F227	detect misuses of CounterColumnType. Can create a Column Family with comparator CounterColumnType which is subsequently unusable. It's probably the case that this shouldn't be allowed at all but one is currently allowed to create a Column Family with comparator CounterColumnType which then appears unusable. CREATE COLUMNFAMILY comparator_cf_counter (id text PRIMARY KEY) WITH comparator=CounterColumnType
F228	"turn off string interning in json2sstable, take 2. json2sstable fails due to OutOfMemory. I have a json file created with sstable2json for a column family of super column type. Its size is about 1.9GB. (It's a dump of all keys because I cannot find out how to specify keys to dump in sstable2json.)"
F229	"validate compression parameters on add/update of the ColumnFamily. When Snappy compression is not available on the platform, trying to enable it introduces problems. I've tried to enable compression for some column families in my cluster using Snappy compression."
F230	Increase vm.max_map_count in debian packaging. Packaging should increase vm.max_map_count to accommodate leveled compaction. 
F231	"gossiper will never add itself to saved endpoints. Gossiper.addSavedEndpoint should never add itself. Somehow, people are running into a situation where nodes are adding themselves to the persisted ring cache. Since SS is initialized after the Gossiper and calls addSavedEndpoint on it, which inits the nodes with a generation of zero, this ends up with nodes using a generation of zero and thus never being marked as alive."
F232	"fix regression in HH page size calculation. Hinted Handoff - related OOM. One of our nodes had collected alot of hints for another node, so when the dead node came back and the row mutations were read back from disk, the node died with an OOM-exception (and kept dying after restart, even with increased heap (from 8G to 12G)). The heap dump contained alot of SuperColumns and our application does not use those (but HH does)."
F233	"retry failed stream on IOException.Streaming retry is no longer performed. changed exception handling when processing incoming stream, but since it wraps all exception into RuntimeException, streaming retry which had been occurred when IOException is thrown no longer works."
F234	"allow configuring bloom_filter_fp_chance. BloomFilter FP ratio should be configurable or size-restricted some other way. When you have a live dc and purely analytical dc, in many situations you can have less nodes on the analytical side, but end up getting restricted by having the BloomFilters in-memory, even though you have absolutely no use for them. It would be nice if you could reduce this memory requirement by tuning the desired FP ratio, or even just disabling them altogether."
F235	"attempt hint delivery every ten minutes, or when failure detector notifies us that a node is back up, whichever comes first.  Hint handoff throttle delay default changed to 1ms, from 50. Hints are not replayed unless node was marked down. If B drops a write from A because it is overwhelmed (but not dead), A will hint the write. But it will never get notified that B is back up (since it was never down), so it will never attempt hint delivery."
F236	add nodetool setstreamthroughput. make stream throttling configurable at runtime with nodetool. 
F237	"fix assertion when dropping a columnfamily with no sstables. Fatal exception in thread Thread[MigrationStage:1,5,main] (LeveledCompaction). "
F238	"more efficient allocation of small bloom filters. OpenBitSet can allocate more bytes than it needs. changed OpenBitSet to break big long arrays into pages. However, it always allocate full pages, each page being of size 4096 * 8 bytes. This means that we almost always allocate too much bytes, and for a row that has 1 column, the associated row bloom filter allocates 32760 more bytes than it should."
F239	"CLibrary.createHardLinkWithExec() to check for errors. Should check for errors when calling /bin/ln. It looks like cassandra.utils.CLibrary.createHardLinkWithExec() does not check for any errors in the execution of the hard-link-making utility. This could be bad if, for example, the user has put the snapshot directory on a different filesystem from the data directory. The hard linking would fail and the sstable snapshots would not exist, but no error would be reported."
F240	Avoid creating empty and non cleaned writer during compaction. Temp SSTable and file descriptor leak. 
F241	"stop thrift service in shutdown hook so we can quiesce MessagingService. ThreadPoolExecutor creates threads as non-daemon and will block on shutdown by default. This is most obviously visible in OptionalTasks which should not block shutdown, but often does."
F242	"(CQL) compaction_strategy_options and compression_parameters for CREATE COLUMNFAMILY statement. CQL can't create column with compression or that use leveled compaction. Looking at CreateColumnFamilyStatement.java, it doesn't seem CQL can create compressed column families, nor define a compaction strategy."
F243	"Reset min/max compaction threshold when creating size tiered compaction strategy. Changing compaction strategy from Leveled to SizeTiered logs millions of messages about nothing to compact. When column family compaction strategy is changed from Leveled to SizeTiered and there're Leveled compaction tasks pending, Cassandra starting to flood in logs with thousands per sec messages:"
F244	Don't ignore IOException during compaction. NPE when running upgradesstables
F245	Fix assertion error for CF with gc_grace=0. AssertionError in hintedhandoff - 1.0.5 
F246	Shutdown ParallelCompaction reducer executor after use. Unsustainable Thread Accumulation in ParallelCompactionIterable.Reducer ThreadPoolExecutor
F247	Avoid < 0 value for pending tasks in leveled compaction. strange values of pending tasks with compactionstats (below 0)
F248	(Hadoop) Support TimeUUID in Pig CassandraStorage. Support TimeUUID in CassandraStorage
F249	Check schema is ready before continuing boostrapping. Bootstrapping nodes don't ensure schema is ready before continuing
F250	"Catch overflows during parsing of chunk_length_kb. parsing of chunk_length_kb silently overflows. Not likely to trigger for ""real"" values; I noticed because some other bug caused the chunk length setting to be corrupted somehow and take on some huge value having nothing to do with what I asked for in my schema update (not yet identified why; separate issue)."
F251	"Improve stream protocol mismatch errors. correct and improve stream protocol mismatch error. The message (and code comment) claims it got a ""newer"" version despite the fact that the check only determines that it is non-equal. Fix that, and also print the actual version gotten and expected."
F252	"Avoid multiple thread doing HH to the same target. Multiple threads can attempt hint handoff to the same target. HintedHandOffManager attempts to prevent multiple threads sending hints to the same target with the queuedDeliveries set, but the code is buggy. If two handoffs do occur concurrently, the second thread can use an arbitrarily large amount of memory skipping tombstones when it starts paging from the beginning of the hint row, looking for the first live hint. (This is not a problem with a single thread, since it always pages starting with the last-seen hint column name, effectively skipping the tombstones. Then it compacts when it's done.)"
F253	Add JMX property for rp_timeout_in_ms. Make rpc_timeout_in_ms into a jmx mbean property
F254	Allow DynamicCompositeType to compare component of different types. Do something about DynamicCompositeType. 
F255	Flush non-cfs backed secondary indexes. Flush non-cfs backed secondary indexes along with CF
F256	Secondary Indexes should report memory consumption. Secondary index should report it's memory consumption
F257	fix for SelectStatement start/end key are not set correctly when a key alias is involved. SelectStatement start/end key are not set correctly when a key alias is involved
F258	fix CLI `show schema` command insert of an extra comma in column_metadata. Show Schema; inserts an extra comma in column_metadata
F259	avoid logging (harmless) exception when GC takes < 1ms GC can take 0 ms
F260	"prevent new nodes from thinking down nodes are up forever. Nodes can get stuck in UP state forever, despite being DOWN"
F261	use correct list of replicas for LOCAL_QUORUM reads when read repair is disabled. Adding another datacenter's node results in 0 rows returned on first datacenter.
F262	"block on flush before compacting hints (may prevent OOM) Once a host has been hinted to, log messages for it repeat every 10 mins even if no hints are delivered"
F263	fix race between cleanup and flush on secondary index CFSes. Can't cleanup after I moved a token.
F264	"avoid including non-queried nodes in rangeslice read repair. Unnecessary ReadRepair request during RangeScan. During reading with Quorum level and replication factor greater then 2, Cassandra sends at least one ReadRepair, even if there is no need to do that."
F265	Only snapshot CF being compacted for snapshot_before_compaction. snapshot-before-compaction snapshots entire keyspace. Should only snapshot the CF being compacted
F266	Log active compactions in StatusLogger. log Compaction Active tasks in StatusLogger instead of n/a. currently StatusLogger log:
F267	"Compute more accurate compaction score per level. [patch] allow compaction score to be a floating pt value. compaction score is computed with integer math, making the need for compaction under reported. Use floating pt math instead."
F268	Return InvalidRequest when using a keyspace that doesn't exist. cqlsh doesn't error out immediately for use of invalid keyspace. 
F269	disallow user modification of System keyspace. sstable2json doesn't work for secondary index sstable due to partitioner mismatch. sstable2json doesn't work for secondary index sstable in 1.0.6 while it worked in version 0.8.x.
F270	allow using sstable2json on secondary index data. sstable2json doesn't work for secondary index sstable due to partitioner mismatch. sstable2json doesn't work for secondary index sstable in 1.0.6 while it worked in version 0.8.x.
F271	(cqlsh) add DESCRIBE COLUMNFAMILIES. Add new SHOW command in CQL shell to list column families. add command SHOW COLUMN FAMILIES to list all column families in a current keyspace by name.
F272	(cqlsh) format blobs correctly and use colors to improve output readability. cqlsh and cassandra-cli show keys differently for data created via stress tool. 
F273	synchronize BiMap of bootstrapping tokens.InvocationTargetException ConcurrentModificationException at startup
F274	"show index options in CLI. It's useful to show actual index options if any on `describe <ks/cf>` or `show keyspaces`, that was already added to `show schema`."
F275	"add optional socket timeout for streaming. Repair Streaming hangs between multiple regions. Streaming hangs between datacenters, though there might be multiple reasons for this, a simple fix will be to add the Socket timeout so the session can retry."
F276	"fix truncate not to leave behind non-CFS backed secondary indexes. Truncate leaves behind non-CFS backed secondary indexes. If you setup a CF with a non-cfs backed secondary index then trucate it, nothing happens to the secondary index. we need a hook for CFStore to clean these up."
F277	"make CLI `show schema` to use output stream directly instead of StringBuilder. Make CLI `show schema` output data into the file as well is display it to user. Primary use-case for `show schema` is to persist current schema to load it later (possibly on the other machines), so if we output it into timestamped file this would make a good bonus in usability."
F278	remove the wait on hint future during write. Internal error processing batch_mutate: java.util.ConcurrentModificationException on CounterColumn. Cassandra throws an exception below while performing batch_mutate with counter column insertion mutation to increment column with 1
F279	(cqlsh) ignore missing CfDef opts.  ./bin/cqlsh `describe keyspace <keyspace>` command doesn't work when ColumnFamily row_cache_provider wasn't specified.
F280	"(cqlsh) look for cqlshlib relative to realpath . cqlsh is missing cqlshlib (ImportError: No module named cqlshlib). After a clean install of Cassandra, when running cqlsh I get the following erro"
F281	"Fix short read protection. Short read protection is broken. When a read needs to do more than one retry (due to short reads), the originalCount is not preserved by the retry leading to returning more than the requested number of columns."
F282	Make sure infered and actual schema match . Cassandra inferred schema and actual data don't match. 
F283	Fix NPE during HH delivery. NPE during HH delivery when gossip turned off on target. 
F284	Don't put boostrapping node in 'hibernate' status . Its impossible to removetoken joining down node. 
F285	"Hadoop Fix bad validator lookup. [patch] fix bad validator lookup. code looks up an entry in a map by a byte[] even tho the map is keyed by ByteBuffer, add a ByteBuffer.wrap call to the key."
F286	Fix soft reset in EC2MultiRegionSnitch. FB.broadcastAddress fixes and Soft reset on Ec2MultiRegionSnitch.reconnect. looks like OutboundTcpConnectionPool.reset will clear the queue which might not be ideal for Ec2Multiregion snitch. there is additional cleanup needed for FB.broadCastAddress.
F287	Don't leave zombie connections with THSHA thrift server. Disablethrift and Enablethrift can leaves behind zombie connections on THSHA server. While doing nodetool disable thrift we disable selecting threads and close them... but the connections are still active
F288	"(cqlsh) fix deserialization of data. cqlsh: handle situation where data can't be deserialized as expected. When cqlsh tries to deserialize data which doesn't match the expected type (either because the validation type for the column/key alias was changed, or ASSUME has been used), it just fails completely and in most cases won't show any results at all. When there is only one misbehaving value out of a large number, this can be frustrating."
F289	Fix removetoken force causing an inconsistent state . nodetool removetoken force causes an inconsistent state. 
F290	"Fix ahndling of some types with Pig. Pig can't store some types after loading them.  we removed the decompose methods in putNext instead relying on objToBB, however it cannot sufficiently handle all types."
F291	Don't allow to drop the system keyspace. [patch] don't allow dropping the system keyspace. throw an IRE if user attempts to drop system keyspace
F292	Make Pig deletes disabled by default and configurable. Make Pig/CassandraStorage delete functionality disabled by default and configurable. there is a way to delete column with the CassandraStorage loadstorefunc. In practice it is a bad idea to have that enabled by default. A scenario: do an outer join and you don't have a value for something and then you write out to cassandra all of the attributes of that relation.
F293	(Pig) fix CassandraStorage to use correct comparator in Super ColumnFamily case. CassandraStorage uses comparator for both super column names and sub column names. The CassandraStorage class uses the same comparator for super and sub column names.
F294	"fix thread safety issues in commitlog replay, primarily affecting systems with many (100s) of CF definitions. Possible livelock during commit log playback. In CommitLog.recover, there seems to be the possibility of concurrent inserts to tablesRecovered (a HashSet) in the Runnables instantiated a bit below (line 323 in 1.0.7). "
F295	"Fix relevant tombstone ignored with super columns. SuperColumn may ignore relevant tombstones. QueryFilter.isRelevant() consider that a super column that is gc-able but contains only non-gcable tombstone is irrelevant (if the tombstone timestmap is greater than the super column timestamp, which is almost implied by the fact that the tombstone are non-gcable while the SC is)."
F296	improve index sampling performance. Improve BloomFilter deserialization performance. It seems as though 1.0.7 loads the BloomFilter through a series of reading longs out in a multithreaded process while 0.8.7 reads the entire object.
F297	"always compact away deleted hints immediately after handoff. HintedHandoff won't compact a single sstable, resulting in repeated log messages. "
F298	delete hints from dropped ColumnFamilies on handoff instead of erroring out. Hints Should Be Dropped When Missing CFid Implies Deleted ColumnFamily
F299	add CompositeType ref to the CLI doc for create/update column family. Cli should be able to define CompositeType comparators. 
F300	Pig: support Counter ColumnFamilies. Pig CounterColumnFamily support. 
F301	Pig: Composite column support. Composite Column Support for PIG.
F302	Avoid NPE during repair when a keyspace has no CFs. NullPointerException in org.apache.cassandra.service.AntiEntropyService when repair finds a keyspace with no CFs
F303	Fix division-by-zero error on get_slice. Division by zero on get_slice.
F304	"don't change manifest level for cleanup, scrub, and upgradesstables operations under LeveledCompactionStrategy. nodetool cleanup/scrub/upgradesstables promotes all sstables to next level (LeveledCompaction). nodetool cleanup giving exception."
F305	fix race leading to super columns assertion failure. Supercolumn serialization assertion failure.
F306	fix NPE on invalid CQL delete command. NPE on invalid CQL DELETE command.
F307	"allow custom types in CLI's assume command. Issue with cassandra-cli ""assume"" command and custom types"
F308	fix totalBytes count for parallel compactions. parallel compaction hang (on large rows?). compaction type keyspace column family bytes compacted bytes total progress.
F309	fix intermittent NPE in get_slice. Internal error processing get_slice (NullPointerException). 
F310	"remove unnecessary asserts in native code interfaces. mlockall() returned code is ignored w/o assertions. We log that mlockall() was successful only based on the lack of an assertion failure, so for anyone running w/o -ea we are lying about mlockall() succeeding."
F311	Validate blank keys in CQL to avoid assertion errors. CQL inserting blank key.
F312	"cqlsh: fix bad decoding of some column names. cqlsh still failing to handle decode errors in some column names.Columns which are expected to be text, but which are not valid utf8, cause cqlsh to display an error and not show any output:"
F313	cqlsh: fix incorrect padding with unicode chars. cqlsh: double wide unicode chars cause incorrect padding in select output
F314	"Fix EC2 snitch incorrectly reporting region. EC2 snitch incorrectly reports regions. Currently the org.apache.cassandra.locator.Ec2Snitch reports ""us-west"" in both the oregon and the california data centers. This is incorrect, since they are different regions."
F315	"Shut down thrift during decommission. decom should shut thrift down. If you decom a node an then try to use it, you get nothing but timeouts. Instead let's just kill thrift so intelligent clients can move along."
F316	Expose nodetool cfhistograms for 2ndary indexes. Expose nodetool cfhistograms for secondary index CFs. 
F317	Fix ConcurrentModificationException in gossiper. java.util.ConcurrentModificationException in Gossiper
F318	"fix maxTimestamp to include row tombstones. check most recent TS values in SSTables when a row tombstone has already been encountered. once C* comes across a row tombstone, C* should check the TS on the tombstone against all SSTables. If the most recent TS in an SST is older than the row tombstone, that entire SST (or the remainder of it) can be safely ignored."
F319	"avoid streaming empty files with bulk loader if sstablewriter errors out. BulkRecordWriter shouldn't stream any empty data/index files that might be created at end of flush. If by chance, we flush sstables during BulkRecordWriter (we have seen it happen), I want to make sure we don't try to stream them."
F320	support PropertyFileSnitch in bulk loader. NullPointerException when using sstableloader with PropertyFileSnitch configured. 
F321	add auto_snapshot option allowing disabling snapshot before drop/truncate. Add a configuration option to disable snapshots. It gives cassandra the ability to permanently delete data at a large scale without any means of recovery. 
F322	allow short snitch names. update snitch documentation.
F323	cqlsh: guess correct version of Python for Arch Linux. cqlsh can't handle python being a python3. cqlsh fails to run when python is a Python 3
F324	(CLI) properly handle quotes in create/update keyspace commands. Cannot create keyspace with specific keywords through cli. Keyspaces cannot be create when the keyspace name which are used as keywords. 
F325	Avoids possible deadlock during bootstrap. isReadyForBootstrap doesn't compare schema UUID by timestamp as it should
F326	fix stress tool that hangs forever on timeout or error. stress tool hangs forever on timeout or error. The stress tool hangs forever if it encounters a timeout or exception.
F327	Fix super columns bug where cache is not updated. Apparent data loss using super columns and row cache via ConcurrentLinkedHashCacheProvider.
F328	stress tool to return appropriate exit code on failure. stress tool return a non-zero value when it fails. 
F329	"fix compaction NPE when out of disk space and assertions disabled. Ensure a directory is selected for Compaction.  CompactionTask.execute() checks if there is a valid compactionFileLocation only if partialCompactionsAcceptable() . upgradesstables results in a CompactionTask with userdefined set, so the valid location check is not performed."
F330	add populate_io_cache_on_flush option. make cache skipping optional. We've applied this patch locally in order to turn of page skipping; not completely but only for compaction/repair situations where it can be directly detrimental in the sense of causing data to become cold even though your entire data set fits in memory.
F331	allow larger cache capacities than 2GB. Allow larger cache capacities than 2GB. The problem is that capacity is a Integer which can maximum hold 2 GB
F332	add getsstables command to nodetool. There should be an easy way to find out which sstables a key lives in. 
F333	apply parent CF compaction settings to secondary index CFs. 2I CFs should inherit parent compaction settings
F334	preserve commitlog size cap when recycling segments at startup. Preserve commitlog size cap when recycling segments at startup
F335	(Hadoop) fix split generation regression. Bug in SSTableReader.getSampleIndexesForRanges(...) causes uneven InputSplits generation for Hadoop mappers. 
F336	"ignore min/max compactions settings in LCS, while preserving behavior that min=max=0 disables autocompaction. overlapping sstables in leveled compaction strategy"
F337	log number of rows read from saved cache. LOGGING: Info log is not displaying number of rows read from saved cache at startup
F338	calculate exact size required for cleanup operations. Improve pre-cleanup estimate of disk space required
F339	"avoid blocking additional writes during flush when the commitlog gets behind temporarily. CFS.maybeSwitchMemtable() calls CommitLog.instance.getContext(), which may block, under flusher lock write lock"
F340	"enable caching on index CFs based on data CF cache setting. Index caching. Currently, the ""hidden"" CFs backing secondary indexes are created with Caching.NONE, which can result in slower-than-expected index queries."
F341	"warn on invalid replication strategy creation options. when creating keyspace with simple strategy, it should only acception ""replication_factor"" as an option."
F342	remove [Freeable]Memory finalizers. Improve serializing off-heap cache by not using finalizers. 
F343	"include tombstone size in ColumnFamily.size, which can prevent OOM during sudden mass delete operations by yielding a nonzero liveRatio. OOMs because delete operations are not accounted."
F344	Open 1 sstableScanner per level for leveled compaction. OOM Exception during repair session with LeveledCompactionStrategy.
F345	Optimize reads when row deletion timestamps allow us to restrict the set of sstables we check. check most recent TS values in SSTables when a row tombstone has already been encountered
F346	add support for commitlog archiving and point-in-time recovery. Streaming CommitLog backup
F347	avoid generating redundant compaction tasks during streaming. Unnecessary compaction happens when streaming.
F348	"add -cf option to nodetool snapshot, and takeColumnFamilySnapshot to StorageService mbean. nodeprobe snapshot to support specific column families"
F349	optimize cleanup to drop entire sstables where possible. Check SSTable range before running cleanup. 
F350	optimize truncate when autosnapshot is disabled. Optimize truncate when snapshots are disabled or keyspace not durable.
F351	update caches to use byte[] keys to reduce memory overhead. KeyCacheKey and RowCacheKey to use raw byte[].
F352	add column limit to cli. cassandra-cli list <CF> limit number of columns returned. Listing wide-rows from CLI crashes Cassandra.
F353	"clean up and optimize DataOutputBuffer, used by CQL compression and CompositeType. Clean up DataOutputBuffer."
F354	optimize commitlog checksumming. Checksum improvement for CommitLog.
F355	"identify and blacklist corrupted SSTables from future compactions. During Compaction, Corrupt SSTables with rows that cause failures should be identified and blacklisted."
F356	Move CfDef and KsDef validation out of thrift. Move CfDef and KsDef validation to CFMetaData and KSMetaData.
F357	Expose API to repair a user provided range. repair user provided custom token range (support incremental repair controlled by external agent)
F358	Add way to force the cassandra-cli to refresh its schema. Add way to force the cassandra-cli to refresh it's schema
F359	Avoid having replicate on write tasks stacking up at CL.ONE. Avoids having replicate on write tasks stacking up at CL.ONE
F360	(cql3) Backwards compatibility for composite comparators in non-cql3-aware clients. schema_* CFs do not respect column comparator which leads to CLI commands failure.
F361	(cql3) Fix order by for reversed queries. ORDER BY ... DESC reverses comparrison predicates in WHERE
F362	(cql3) Add ReversedType support. Add support for ReversedType
F363	(cql3) Add timeuuid type. CQL3: improve experience with time uuid
F364	(cql3) Minor fixes. Minor CQL3 fixes
F365	"(cql3) Fix prepared statement in BATCH. CQL 3.0 prepare_cql_query fails on ""BEGIN BATCH"""
F366	(cql3) Reduce the list of reserved keywords. CQL3: make some keywords unreserved
F367	(cql3) Move max/min compaction thresholds to compaction strategy options. CQL3: move {max/min}_compaction_thresholds to compaction options
F368	Fix exception during move when localhost is the only source. Move error on 1 node cluster
F369	(cql3) Allow paging through non-ordered partitioner results. Allow paging through non-ordered partitioner results in CQL3
F370	(cql3) Fix drop index. CQL3: fix index dropping and assign default name if none provided at index creation.
F371	(cql3) Don't return range ghosts anymore. Explore not returning range ghosts
F372	fix re-creating Keyspaces/ColumnFamilies with the same name as dropped ones. Problem with creating keyspace after drop.
F373	fix SecondaryIndex LeveledManifest save upon snapshot. Deleting a CF always produces an error and that CF remains in an unknown state
F374	fix missing arrayOffset in FBUtilities.hash Missing arrayOffset in FBUtilities.hash
F375	(cql3) Add name of parameters in CqlResultSet. Name of parameters should be available in CqlPreparedResult
F376	(cql3) Correctly validate order by queries. cql3 ORDER BY not ordering
